Period,CBSA Code,Property Type,Sales Volume Transactions,current_case,current_death,ln_cases_current,ln_death_current,TimeIndex,percentage_stay at home,percentage_facial mask
2018 Q1,19660,Industrial,28,,,0,0,1,0,0
2018 Q2,19660,Industrial,33,,,0,0,2,0,0
2018 Q3,19660,Industrial,21,,,0,0,3,0,0
2018 Q4,19660,Industrial,25,,,0,0,4,0,0
2019 Q1,19660,Industrial,12,,,0,0,5,0,0
2019 Q2,19660,Industrial,20,,,0,0,6,0,0
2019 Q3,19660,Industrial,18,,,0,0,7,0,0
2019 Q4,19660,Industrial,21,,,0,0,8,0,0
2020 Q1,19660,Industrial,27,98,1,4.584967479,0,9,0,0
2020 Q2,19660,Industrial,18,2317,61,7.748028524,4.110873864,10,0,0
2020 Q3,19660,Industrial,29,10281,214,9.238052811,5.365976015,11,0,0
2020 Q4,19660,Industrial,24,13319,221,9.496946866,5.398162702,12,0,0
2021 Q1,19660,Industrial,28,18935,316,9.84876734,5.755742214,13,0,0
2021 Q2,19660,Industrial,29,7647,147,8.942068693,4.990432587,14,0,0
2021 Q3,19660,Industrial,41,33908,375,10.43140625,5.926926026,15,0,0
2021 Q4,19660,Industrial,24,11968,590,9.3899917,6.380122537,16,0,0
2018 Q1,22744,Industrial,71,,,0,0,1,0,0
2018 Q2,22744,Industrial,125,,,0,0,2,0,0
2018 Q3,22744,Industrial,118,,,0,0,3,0,0
2018 Q4,22744,Industrial,118,,,0,0,4,0,0
2019 Q1,22744,Industrial,119,,,0,0,5,0,0
2019 Q2,22744,Industrial,90,,,0,0,6,0,0
2019 Q3,22744,Industrial,121,,,0,0,7,0,0
2019 Q4,22744,Industrial,114,,,0,0,8,0,0
2020 Q1,22744,Industrial,120,1219,12,7.105786129,2.48490665,9,6.593406593,0
2020 Q2,22744,Industrial,69,14405,371,9.575330648,5.916202063,10,91.20879121,90.10989011
2020 Q3,22744,Industrial,84,61596,1013,11.02835221,6.920671504,11,100,100
2020 Q4,22744,Industrial,96,60390,451,11.00857881,6.11146734,12,100,100
2021 Q1,22744,Industrial,86,76989,809,11.25141783,6.695798917,13,0,0
2021 Q2,22744,Industrial,128,31229,423,10.34910243,6.047372179,14,0,0
2021 Q3,22744,Industrial,123,100564,1323,11.51854962,7.187657164,15,0,0
2021 Q4,22744,Industrial,151,93583,576,11.44660402,6.356107661,16,0,0
2018 Q1,15980,Industrial,31,,,0,0,1,0,0
2018 Q2,15980,Industrial,43,,,0,0,2,0,0
2018 Q3,15980,Industrial,44,,,0,0,3,0,0
2018 Q4,15980,Industrial,46,,,0,0,4,0,0
2019 Q1,15980,Industrial,45,,,0,0,5,0,0
2019 Q2,15980,Industrial,40,,,0,0,6,0,0
2019 Q3,15980,Industrial,31,,,0,0,7,0,0
2019 Q4,15980,Industrial,63,,,0,0,8,0,0
2020 Q1,15980,Industrial,33,206,8,5.327876169,2.079441542,9,0,0
2020 Q2,15980,Industrial,30,5381,150,8.590629509,5.010635294,10,0,0
2020 Q3,15980,Industrial,36,14928,310,9.610993923,5.736572297,11,0,0
2020 Q4,15980,Industrial,54,20119,204,9.909419921,5.318119994,12,0,0
2021 Q1,15980,Industrial,38,22078,243,10.00233692,5.493061443,13,0,0
2021 Q2,15980,Industrial,59,9897,94,9.19998696,4.543294782,14,0,0
2021 Q3,15980,Industrial,39,48682,604,10.79306463,6.403574198,15,0,0
2021 Q4,15980,Industrial,51,14072,244,9.551942286,5.497168225,16,0,0
2018 Q1,18880,Industrial,6,,,0,0,1,0,0
2018 Q2,18880,Industrial,7,,,0,0,2,0,0
2018 Q3,18880,Industrial,8,,,0,0,3,0,0
2018 Q4,18880,Industrial,6,,,0,0,4,0,0
2019 Q1,18880,Industrial,8,,,0,0,5,0,0
2019 Q2,18880,Industrial,18,,,0,0,6,0,0
2019 Q3,18880,Industrial,7,,,0,0,7,0,0
2019 Q4,18880,Industrial,6,,,0,0,8,0,0
2020 Q1,18880,Industrial,7,57,1,4.043051268,0,9,0,0
2020 Q2,18880,Industrial,9,853,14,6.748759547,2.63905733,10,0,0
2020 Q3,18880,Industrial,12,6102,125,8.716371865,4.828313737,11,0,42.86
2020 Q4,18880,Industrial,16,10735,139,9.28126471,4.934473933,12,0,100
2021 Q1,18880,Industrial,11,9316,155,9.139488631,5.043425117,13,0,0
2021 Q2,18880,Industrial,9,999,22,6.906754779,3.091042453,14,0,0
2021 Q3,18880,Industrial,10,16880,190,9.733884768,5.247024072,15,0,0
2021 Q4,18880,Industrial,6,3679,108,8.210396255,4.682131227,16,0,0
2018 Q1,23540,Industrial,3,,,0,0,1,0,0
2018 Q2,23540,Industrial,5,,,0,0,2,0,0
2018 Q3,23540,Industrial,10,,,0,0,3,0,0
2018 Q4,23540,Industrial,15,,,0,0,4,0,0
2019 Q1,23540,Industrial,5,,,0,0,5,0,0
2019 Q2,23540,Industrial,12,,,0,0,6,0,0
2019 Q3,23540,Industrial,13,,,0,0,7,0,0
2019 Q4,23540,Industrial,14,,,0,0,8,0,0
2020 Q1,23540,Industrial,14,89,0,4.48863637,0,9,9.89010989,0
2020 Q2,23540,Industrial,8,1379,13,7.229113878,2.564949357,10,97.8021978,93.40659341
2020 Q3,23540,Industrial,5,8382,68,9.033841828,4.219507705,11,100,100
2020 Q4,23540,Industrial,8,8881,90,9.091669442,4.49980967,12,100,100
2021 Q1,23540,Industrial,7,9229,169,9.130105979,5.129898715,13,0,0
2021 Q2,23540,Industrial,5,2731,45,7.912423121,3.80666249,14,0,0
2021 Q3,23540,Industrial,13,17289,222,9.75782574,5.402677382,15,0,0
2021 Q4,23540,Industrial,15,5816,116,8.668368019,4.753590191,16,0,0
2018 Q1,26140,Industrial,7,,,0,0,1,0,0
2018 Q2,26140,Industrial,2,,,0,0,2,0,0
2018 Q3,26140,Industrial,3,,,0,0,3,0,0
2018 Q4,26140,Industrial,8,,,0,0,4,0,0
2019 Q1,26140,Industrial,3,,,0,0,5,0,0
2019 Q2,26140,Industrial,5,,,0,0,6,0,0
2019 Q3,26140,Industrial,6,,,0,0,7,0,0
2019 Q4,26140,Industrial,2,,,0,0,8,0,0
2020 Q1,26140,Industrial,2,19,2,2.944438979,0.693147181,9,0,0
2020 Q2,26140,Industrial,2,272,11,5.605802066,2.397895273,10,0,0
2020 Q3,26140,Industrial,2,2492,93,7.82084088,4.532599493,11,0,0
2020 Q4,26140,Industrial,3,3880,160,8.263590433,5.075173815,12,0,0
2021 Q1,26140,Industrial,1,3651,163,8.202756382,5.093750201,13,0,0
2021 Q2,26140,Industrial,1,1168,34,7.063048163,3.526360525,14,0,0
2021 Q3,26140,Industrial,5,8284,232,9.022081223,5.446737372,15,0,0
2021 Q4,26140,Industrial,,1547,144,7.344072851,4.9698133,16,0,0
2018 Q1,27260,Industrial,42,,,0,0,1,0,0
2018 Q2,27260,Industrial,67,,,0,0,2,0,0
2018 Q3,27260,Industrial,54,,,0,0,3,0,0
2018 Q4,27260,Industrial,109,,,0,0,4,0,0
2019 Q1,27260,Industrial,44,,,0,0,5,0,0
2019 Q2,27260,Industrial,54,,,0,0,6,0,0
2019 Q3,27260,Industrial,38,,,0,0,7,0,0
2019 Q4,27260,Industrial,64,,,0,0,8,0,0
2020 Q1,27260,Industrial,54,346,11,5.846438775,2.397895273,9,9.89010989,0
2020 Q2,27260,Industrial,25,7767,99,8.957639268,4.59511985,10,100,0
2020 Q3,27260,Industrial,43,36588,512,10.5074756,6.238324625,11,100,97.14285714
2020 Q4,27260,Industrial,102,48198,504,10.78307281,6.222576268,12,100,29.34782609
2021 Q1,27260,Industrial,62,49704,893,10.81384069,6.794586581,13,0,0
2021 Q2,27260,Industrial,61,14237,226,9.563599489,5.420534999,14,0,0
2021 Q3,27260,Industrial,63,96119,1702,11.47334229,7.439559309,15,0,0
2021 Q4,27260,Industrial,71,25678,493,10.15338987,6.200509174,16,0,0
2018 Q1,29460,Industrial,18,,,0,0,1,0,0
2018 Q2,29460,Industrial,33,,,0,0,2,0,0
2018 Q3,29460,Industrial,23,,,0,0,3,0,0
2018 Q4,29460,Industrial,29,,,0,0,4,0,0
2019 Q1,29460,Industrial,26,,,0,0,5,0,0
2019 Q2,29460,Industrial,29,,,0,0,6,0,0
2019 Q3,29460,Industrial,19,,,0,0,7,0,0
2019 Q4,29460,Industrial,20,,,0,0,8,0,0
2020 Q1,29460,Industrial,24,73,1,4.290459441,0,9,0,0
2020 Q2,29460,Industrial,18,3763,97,8.232971791,4.574710979,10,0,0
2020 Q3,29460,Industrial,27,16196,433,9.692519577,6.070737728,11,0,0
2020 Q4,29460,Industrial,38,17371,259,9.762557428,5.556828062,12,0,0
2021 Q1,29460,Industrial,30,23772,464,10.0762637,6.139884552,13,0,0
2021 Q2,29460,Industrial,22,10778,133,9.285262298,4.890349128,14,0,0
2021 Q3,29460,Industrial,24,52492,811,10.86841606,6.698268054,15,0,0
